year,log_CO2
1849,5.653120559853973
1850,5.654066882410268
1851,5.654522200002149
1852,5.654557215846823
1853,5.65434710238478
1854,5.653891705042736
1855,5.653225751039049
1856,5.65262952129758
1857,5.652278631789086
1858,5.652313726281008
1859,5.652594437886767
1860,5.652875070715635
1861,5.653190688540141
1862,5.6536113574098374
1863,5.654207002212929
1864,5.654977310374268
1865,5.655851940898651
1866,5.6569004887560705
1867,5.658122406620676
1868,5.6595867399135065
1869,5.660909767750806
1870,5.662057294608887
1871,5.663168791770904
1872,5.66424437780871
1873,5.665284167171766
1874,5.666184444240883
1875,5.666738058316819
1876,5.666945584604227
1877,5.6669109998802965
1878,5.666807238531306
1879,5.666772649022301
1880,5.6669109998802965
1881,5.667429645190403
1882,5.66815529701305
1883,5.669052994135103
1884,5.669915405144624
1885,5.670845974409936
1886,5.672085387912946
1887,5.673769902810133
1888,5.67552016493823
1889,5.677130443658775
1890,5.678567225515137
1891,5.679933672624212
1892,5.681025487533585
1893,5.681707267004343
1894,5.6820139161830525
1895,5.68235452724258
1896,5.682831187903269
1897,5.683545753154764
1898,5.684701586843409
1899,5.686025753066942
1900,5.687348168192776
1901,5.688702677221108
1902,5.690190521136734
1903,5.691777367528769
1904,5.693328016752342
1905,5.694775365496226
1906,5.69588470252906
1907,5.696690720842445
1908,5.697429000684026
1909,5.698166735870565
1910,5.69887043029518
1911,5.699874849825184
1912,5.701479825593525
1913,5.703482429647199
1914,5.705614129485171
1915,5.707874092559455
1916,5.710195202428391
1917,5.712378753881558
1918,5.714392653768217
1919,5.716040372051703
1920,5.717356594683319
1921,5.718539715631108
1922,5.719524581604809
1923,5.720115035943761
1924,5.720344562955179
1925,5.720508478571787
1926,5.72106559077876
1927,5.722113431340925
1928,5.7231601750824375
1929,5.72397718194172
1930,5.724565013838729
1931,5.725217755376266
1932,5.7260656828966585
1933,5.727075734625493
1934,5.728279946256588
1935,5.729775054930455
1936,5.73152733496476
1937,5.73337363883364
1938,5.735184237795733
1939,5.736798078440366
1940,5.738344919005312
1941,5.739825066003131
1942,5.741238811700154
1943,5.742169507060905
1944,5.742554369156739
1945,5.742458167518031
1946,5.742169507060905
1947,5.741784496789209
1948,5.741559838990231
1949,5.741784496789209
1950,5.742426098248406
1951,5.743323649276734
1952,5.744380444084709
1953,5.745723842444373
1954,5.74738460102608
1955,5.749233737560118
1956,5.750793278925555
1957,5.751842213399761
1958,5.753324736881353
1959,5.755684195026231
1960,5.7586125627642994
1961,5.76092916003231
1962,5.7634759441305725
1963,5.76516759153667
1964,5.767132790156963
1965,5.768435572562937
1966,5.772585328090866
1967,5.775107809020652
1968,5.777807110004175
1969,5.782657834577731
1970,5.785920421679378
1971,5.787878495009303
1972,5.791355730799207
1973,5.798127542425047
1974,5.799678341498242
1975,5.802506014233399
1976,5.80521277713433
1977,5.810674317234246
1978,5.815368571108219
1979,5.819593196208847
1980,5.825299271882113
1981,5.829298496517592
1982,5.833284231414877
1983,5.838174954771788
1984,5.8431627016752445
1985,5.847454636545001
1986,5.851073969683209
1987,5.855964551388615
1988,5.8627501057518465
1989,5.867048624914997
1990,5.870574345457138
1991,5.8740993928769925
1992,5.876462796340495
1993,5.878337841401725
1994,5.883208640143601
1995,5.888790235187073
1996,5.893695513465392
1997,5.896814982382791
1998,5.904925785690743
1999,5.9095492539067145
2000,5.912712152455775
2001,5.917061980283459
2002,5.92279082111726
2003,5.929544816166323
2004,5.934095817035478
2005,5.940125199028397
2006,5.94565836393565
2007,5.950707654635209
2008,5.955401177628522
2009,5.960083523128392
2010,5.966407388912268
2011,5.970881240160727
2012,5.9764926082260175
2013,5.983274852924057
2014,5.988491381628566
2015,5.993992598890556
2016,6.002435396658721
2017,6.0082171847736525
2018,6.013018091633955
2019,6.02017144936893
2020,6.026381139011542
2021,6.031680357936022
2022,6.036744589748558
2023,6.04281294414402
2024,6.0511593249888
